1.42e+04,7.15e+01,5.23e+01,6.99e-01,1.40e+02,1.62e+01,7.54e-01,6.69e-01,7.73e+01,8.71e+01,1.03e+02,1.40e+01,1.70e+01
1.44e+04,7.45e+01,5.47e+01,6.89e-01,1.40e+02,8.34e+00,7.54e-01,7.23e-01,8.09e+01,8.71e+01,1.03e+02,1.30e+01,1.60e+01
1.46e+04,8.01e+01,8.25e-01,6.89e-01,1.40e+02,8.98e-01,7.54e-01,7.86e-01,8.09e+01,8.71e+01,1.03e+02,1.30e+01,1.60e+01
1.48e+04,7.43e+01,4.46e+01,7.00e-01,1.40e+02,4.38e+01,7.54e-01,7.01e-01,8.04e+01,8.71e+01,1.03e+02,1.30e+01,1.60e+01
1.50e+04,6.16e+01,4.23e+01,6.93e-01,1.40e+02,7.61e+01,7.54e-01,7.55e-01,7.62e+01,8.71e+01,1.03e+02,1.30e+01,1.60e+01
1.52e+04,7.81e+01,1.87e+01,6.99e-01,1.40e+02,1.09e+01,7.54e-01,8.16e-01,7.89e+01,8.71e+01,1.03e+02,1.30e+01,1.60e+01
1.54e+04,8.46e+01,2.18e+00,7.00e-01,1.40e+02,2.15e+00,7.54e-01,7.86e-01,8.69e+01,8.71e+01,1.03e+02,1.30e+01,1.60e+01
1.56e+04,6.98e+01,1.66e+02,7.18e-01,6.37e+01,6.37e+01,8.06e-01,8.06e-01,8.73e+01,8.73e+01,9.40e+01,1.40e+01,1.70e+01
1.57e+04,7.60e+01,9.99e+01,7.22e-01,6.70e+01,6.70e+01,7.81e-01,7.81e-01,8.87e+01,8.87e+01,9.51e+01,1.40e+01,1.80e+01
1.59e+04,5.86e+01,1.01e+01,7.14e-01,6.70e+01,2.09e+02,7.81e-01,7.28e-01,6.98e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.61e+04,7.05e+01,8.71e+01,7.36e-01,6.70e+01,4.97e+01,7.81e-01,7.86e-01,8.04e+01,8.87e+01,9.51e+01,1.40e+01,1.80e+01
1.63e+04,7.47e+01,6.36e+01,6.87e-01,6.70e+01,4.18e+00,7.81e-01,7.52e-01,8.11e+01,8.87e+01,9.51e+01,1.30e+01,1.70e+01
1.65e+04,8.04e+01,6.56e+01,7.03e-01,6.70e+01,8.53e+01,7.81e-01,8.30e-01,8.70e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.67e+04,6.43e+01,4.43e+01,7.04e-01,6.70e+01,2.79e+01,7.81e-01,7.87e-01,7.46e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.69e+04,7.30e+01,9.98e+01,7.02e-01,6.70e+01,1.05e+02,7.81e-01,8.11e-01,7.72e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.71e+04,8.68e+01,1.88e+01,7.10e-01,6.70e+01,2.09e+01,7.81e-01,6.74e-01,8.80e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.73e+04,7.42e+01,2.74e+01,7.12e-01,6.70e+01,9.59e+01,7.81e-01,8.27e-01,8.47e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.75e+04,5.54e+01,1.83e+02,7.14e-01,6.70e+01,1.36e+02,7.81e-01,7.53e-01,7.82e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.77e+04,7.74e+01,5.94e+01,7.26e-01,6.70e+01,4.67e+01,7.81e-01,7.69e-01,8.22e+01,8.87e+01,9.51e+01,1.40e+01,1.70e+01
1.79e+04,5.12e+01,1.75e+02,7.23e-01,6.70e+01,7.70e+01,7.81e-01,8.10e-01,8.03e+01,8.87e+01,9.51e+01,1.40e+01,1.80e+01
